de,en,cat,ex,pos,tr
der Flughafen,airport,Goethe B1,Der Flughafen liegt 30 km außerhalb der Stadt.,,havalimanı
das Flugzeug,airplane,Goethe B1,Das Flugzeug ist gerade gelandet.,,uçak
der Flur,"hallway, corridor",Goethe B1,Wir warten draußen im Flur.,,"koridor, hol"
der Fluss,river,Goethe B1,Wie heißt dieser Fluss?,,"nehir, ırmak"
die Flüssigkeit,"liquid, fluid",Goethe B1,Dieses Medikament mit viel Flüssigkeit einnehmen.,,sıvı
folgen,to follow,Goethe B1,Es folgen die Nachrichten.,,"takip etmek, izlemek"
die Folge,"consequence, episode",Goethe B1,Die Folgen des Unfalls waren schlimm.,,"sonuç, bölüm"
folgend-,following,Goethe B1,Mehr Informationen auf den folgenden Seiten.,,"aşağıdaki, ilerleyen"
fordern,"to demand, require",Goethe B1,Die Arbeitnehmer fordern mehr Geld.,,"talep etmek, istemek"
die Forderung,"demand, requirement",Goethe B1,Alle Forderungen können in dieser E-Mail gelesen werden.,,"talep, istek"
fördern,"to support, promote",Goethe B1,Die Stadt fördert viele Sportprojekte.,,"desteklemek, teşvik etmek"
die Förderung,"support, funding, promotion",Goethe B1,Für das Projekt bekommen wir eine Förderung.,,"destek, teşvik"
die Form,"form, shape",Goethe B1,Diese Schuhe haben eine schöne Form.,,"biçim, form"
das Formular,"form, document",Goethe B1,Füllen Sie bitte dieses Formular aus.,,"form, başvuru belgesi"
die Forschung,research,Goethe B1,Er arbeitet in der Forschung.,,araştırma
die Fortbildung,"further training, professional development",Goethe B1,Die Fortbildung ist sehr teuer.,,mesleki gelişim eğitimi
der Fortschritt,progress,Goethe B1,Ich habe beim Deutschlernen große Fortschritte gemacht.,,"ilerleme, gelişme"
fortsetzen,to continue,Goethe B1,Wir setzen die Behandlung am nächsten Donnerstag fort.,,devam etmek
die Fortsetzung,continuation,Goethe B1,Fortsetzung folgt.,,"devamı, devam"
das Forum,forum,Goethe B1,Ich melde mich heute bei diesem Forum an.,,forum
fotografieren,"to photograph, take photos",Goethe B1,Ich fotografiere gern.,,fotoğraf çekmek
das Foto,"photo, photograph",Goethe B1,Können Sie dieses Foto vergrößern?,,fotoğraf
der Fotoapparat,camera,Goethe B1,Ich möchte mir einen Fotoapparat kaufen.,,fotoğraf makinesi
der Fotograf / die Fotografin,photographer,Goethe B1,Die Fotografin hat sehr schöne Fotos gemacht.,,fotoğrafçı
die Fotografie,photography,Goethe B1,Ich interessiere mich für Fotografie.,,fotoğrafçılık
fragen,to ask,Goethe B1,Darf ich Sie etwas fragen?,,sormak
die Frage,question,Goethe B1,Ich habe Ihre Frage leider nicht verstanden.,,soru
die Frau,"woman, wife, Mrs.",Goethe B1,In meinem Deutschkurs sind mehr Frauen als Männer.,,"kadın, eş (kadın)"
frech,"cheeky, impudent",Goethe B1,Du darfst in der Schule nicht so frech sein.,,"küstah, arsız"
frei,"free, vacant",Goethe B1,Ist dieser Platz noch frei?,,"serbest, boş"
im Freien,"outdoors, in the open air",Goethe B1,Wir wollen heute im Freien übernachten.,,açık havada
die Freiheit,"freedom, liberty",Goethe B1,"Wir wollen die Freiheit haben, unsere Meinung sagen zu können.",,özgürlük
die Freizeit,"free time, leisure time",Goethe B1,In meiner Freizeit höre ich gern Musik.,,"boş zaman, serbest zaman"
freiwillig,"voluntary, voluntarily",Goethe B1,Manchmal bleibe ich freiwillig länger im Büro.,,gönüllü
fremd,"foreign, strange",Goethe B1,Ich reise gern in fremde Länder.,,"yabancı, tanıdık olmayan"
fressen,to eat (animals),Goethe B1,Hat der Hund schon etwas zu fressen bekommen?,,yemek (hayvanlar için)
sich freuen,"to be glad, look forward to",Goethe B1,"Es freut mich, dass alles so gut geklappt hat.",,sevinmek
die Freude,"joy, pleasure",Goethe B1,Diese Arbeit macht mir viel Freude.,,"sevinç, keyif"
der Freund / die Freundin,"friend, boyfriend/girlfriend",Goethe B1,Ich sehe meine Freunde nur am Wochenende.,,"arkadaş, sevgili"
freundlich,"friendly, kind",Goethe B1,Er hat uns sehr freundlich begrüßt.,,"dostane, nazik"
die Freundschaft,friendship,Goethe B1,Deine Freundschaft ist mir sehr wichtig.,,"dostluk, arkadaşlık"
der Friede / der Frieden,peace,Goethe B1,Endlich ist hier Frieden!,,barış
frieren,"to be cold, freeze",Goethe B1,"Wenn Sie frieren, mache ich das Fenster wieder zu.",,"üşümek, donmak"
frisch,fresh,Goethe B1,Das Brot ist noch ganz frisch.,,taze
der Friseur / die Friseurin,hairdresser,Goethe B1,Du siehst toll aus! Wer ist dein Friseur?,,kuaför
die Frisur,hairstyle,Goethe B1,Du hast eine tolle Frisur!,,saç modeli
die Frist,"deadline, period",Goethe B1,Die Frist für die Anmeldung ist abgelaufen.,,"son tarih, süre"
froh,"glad, happy",Goethe B1,"Ich bin froh, dass alles so gut geklappt hat.",,"mutlu, sevinçli"
fröhlich,"cheerful, merry",Goethe B1,Die Musik klingt fröhlich.,,neşeli
die Frucht,fruit,Goethe B1,Welche Früchte kann man essen?,,meyve
früh,early,Goethe B1,Hier ist schon am frühen Morgen starker Verkehr.,,erken
früher,"earlier, before, in the past",Goethe B1,Früher habe ich in Berlin gewohnt.,,"daha önce, eskiden"
frühstücken,to have breakfast,Goethe B1,Haben Sie schon gefrühstückt?,,kahvaltı etmek
das Frühstück,breakfast,Goethe B1,Wir sitzen gerade beim Frühstück.,,kahvaltı
fühlen,to feel,Goethe B1,Wie fühlen Sie sich?,,hissetmek
führen,"to lead, guide",Goethe B1,Der Lehrer führt seine Schüler durch das Museum.,,"yönetmek, rehberlik etmek"
der Führerausweis,driver's license (Swiss),Goethe B1,Hast du einen Führerausweis?,,ehliyet (İsviçre)
der Führerschein,driver's license,Goethe B1,Hast du einen Führerschein?,,ehliyet
die Führung,"guided tour, leadership",Goethe B1,Die nächste Führung beginnt um 15 Uhr.,,"tur, liderlik"
das Fundbüro,lost and found office,Goethe B1,Da fragen Sie am besten im Fundbüro.,,kayıp eşya bürosu
funktionieren,"to work, function",Goethe B1,"Können Sie mir zeigen, wie der Automat funktioniert?",,"çalışmak, işlev görmek"
für,for,Goethe B1,Ist Post für mich da?,,için
furchtbar,"terrible, awful",Goethe B1,Dennis hat furchtbare Schmerzen.,,"korkunç, berbat"
sich fürchten,"to be afraid, fear",Goethe B1,Sie fürchtet sich vor Schlangen.,,korkmak
der Fuß,foot,Goethe B1,Er hat sich den linken Fuß gebrochen.,,ayak
der Fußball,"soccer, football",Goethe B1,Spielt ihr gerne Fußball?,,futbol
der Fußgänger / die Fußgängerin,pedestrian,Goethe B1,Dieser Weg ist nur für Fußgänger.,,yaya
füttern,to feed (animals),Goethe B1,"Es ist im Zoo nicht erlaubt, die Tiere zu füttern.",,beslemek (hayvan)
die Gabel,fork,Goethe B1,Wir brauchen bitte noch eine Gabel.,,çatal
die Galerie,gallery,Goethe B1,Diese Galerie ist sehr interessant.,,galeri
der Gang,"corridor, hallway, course (meal)",Goethe B1,Wir warten draußen im Gang.,,"koridor, yemek servisi"
ganz,"whole, entire, quite",Goethe B1,Ich habe den ganzen Tag noch nichts gegessen.,,"bütün, tamamen"
gar,"even, at all / cooked through",Goethe B1,Die Kartoffeln sind noch nicht gar.,,"bile, pişmiş"
die Garage,garage,Goethe B1,Hier ist eine Garage zu vermieten.,,garaj
garantieren,to guarantee,Goethe B1,"Ich kann Ihnen nicht garantieren, dass das Gerät fertig ist.",,garanti etmek
die Garantie,"guarantee, warranty",Goethe B1,Auf die Waschmaschine haben Sie ein Jahr Garantie.,,garanti
die Garderobe,"cloakroom, wardrobe",Goethe B1,Die Mäntel bitte an der Garderobe abgeben.,,vestiyer
der Garten,garden,Goethe B1,Wir haben einen schönen großen Garten.,,bahçe
das Gas,gas,Goethe B1,Wir kochen mit Gas.,,gaz
der Gast,guest,Goethe B1,Wir haben heute Abend Gäste.,,"misafir, konuk"
das Gasthaus / die Gaststätte,"guesthouse, inn, restaurant",Goethe B1,Gehen wir noch in ein Gasthaus ein Bier trinken?,,"han, restoran"
das Gebäude,building,Goethe B1,In diesem Gebäude sind nur Büros.,,bina
geben,to give,Goethe B1,Geben Sie mir bitte eine Quittung!,,vermek
das Gebäck,"pastry, baked goods",Goethe B1,Das Gebäck ist ganz frisch.,,hamur işi
das Gebiet,"area, region, field",Goethe B1,In diesem Gebiet gibt es kaum Industrie.,,"bölge, alan"
das Gebirge,"mountains, mountain range",Goethe B1,Wir haben unseren Urlaub im Gebirge verbracht.,,"dağlar, dağlık bölge"
geboren werden,to be born,Goethe B1,Wann und wo sind Sie geboren?,,doğmak
gebrauchen,to use,Goethe B1,Wir können diese Möbel gut gebrauchen.,,kullanmak
die Gebrauchsanweisung,instruction manual,Goethe B1,Lesen Sie bitte zuerst die Gebrauchsanweisung.,,kullanım kılavuzu
die Gebühr,"fee, charge",Goethe B1,Die Gebühr liegt bei 60 Euro.,,"ücret, harç"
die Geburt,birth,Goethe B1,Wir gratulieren zur Geburt eures Kindes!,,doğum
der Geburtstag,birthday,Goethe B1,Herzlichen Glückwunsch zum Geburtstag!,,doğum günü
das Gedicht,poem,Goethe B1,Kennst du ein schönes Gedicht?,,şiir
die Geduld,patience,Goethe B1,Bitte haben Sie etwas Geduld.,,sabır
geehrt,"honored, dear (in formal letters)",Goethe B1,"Sehr geehrte Damen und Herren, …",,saygıdeğer
geeignet,"suitable, appropriate",Goethe B1,Dieses Spiel ist nicht für Kinder unter drei Jahren geeignet.,,uygun
die Gefahr,"danger, risk",Goethe B1,Betreten der Baustelle auf eigene Gefahr.,,tehlike
gefährlich,dangerous,Goethe B1,"Achtung, hier ist eine gefährliche Kurve!",,tehlikeli
gefallen,"to like, please",Goethe B1,Wie gefällt es Ihnen hier?,,"hoşuna gitmek, beğenmek"
sich etwas gefallen lassen,"to tolerate, put up with",Goethe B1,Das würde ich mir nicht gefallen lassen.,,"katlanmak, kabullenmek"
das Gefängnis,"prison, jail",Goethe B1,Er wurde zu fünf Jahren Gefängnis verurteilt.,,hapishane
das Gefühl,"feeling, emotion",Goethe B1,Ich habe ein gutes Gefühl.,,"his, duygu"
gegen,"against, around (time)",Goethe B1,Ich bin gegen einen Baum gefahren.,,"karşı, çarpmak"
der Gegner / die Gegnerin,opponent,Goethe B1,Sie ist eine Gegnerin von …,,"rakip, karşıt"
gegenüber,"opposite, across from",Goethe B1,Das Geschäft liegt direkt gegenüber der Post.,,karşısında
das Gehalt,salary,Goethe B1,Ich bin mit meinem Gehalt zufrieden.,,maaş
das Geheimnis,secret,Goethe B1,Das ist ein Geheimnis.,,sır
geheim,"secret, confidential",Goethe B1,Das ist geheim. Du darfst es niemandem sagen.,,gizli
gehen,"to go, walk",Goethe B1,Ich gehe jeden Morgen zu Fuß zur Arbeit.,,"gitmek, yürümek"
die Gegend,"area, neighborhood",Goethe B1,Der Schwarzwald ist eine sehr schöne Gegend.,,"bölge, çevre"
der Gegensatz,"contrast, opposite",Goethe B1,Diese beiden Meinungen stehen in starkem Gegensatz.,,"zıtlık, karşıtlık"
der Geldautomat,"ATM, cash machine",Goethe B1,Ich hole noch Geld vom Geldautomaten.,,bankamatik
der Gegenstand,"object, item",Goethe B1,Ich schließe meine persönlichen Gegenstände im Schwimmbad ein.,,"nesne, eşya"
das Gegenteil,opposite,Goethe B1,Das Gegenteil von klein ist groß.,,"zıt, karşıt"
die Geldbörse,"wallet, purse",Goethe B1,Ich habe nur Kleingeld in meiner Geldbörse.,,"cüzdan, para çantası"
die Gelegenheit,"opportunity, occasion",Goethe B1,"Das Fest ist eine gute Gelegenheit, unsere Freunde zu sehen.",,fırsat
gelingen,"to succeed, manage",Goethe B1,"Es ist mir gelungen, meinen Chef zu überzeugen.",,başarmak
gelten,"to be valid, apply",Goethe B1,Mein Pass gilt noch ein Jahr.,,geçerli olmak
gemeinsam,"together, jointly",Goethe B1,Wir können das gemeinsam machen.,,"birlikte, ortak"
die Gemeinschaft,"community, shared space",Goethe B1,Rauchen ist in den Gemeinschaftsräumen nicht erlaubt.,,"topluluk, ortak alan"
das Gemüse,vegetables,Goethe B1,Wir kaufen das Gemüse direkt beim Bauern.,,sebze
gemütlich,"cozy, comfortable",Goethe B1,Wir haben eine sehr gemütliche Wohnung.,,"rahat, samimi"
genau,"exact, precise",Goethe B1,Haben Sie die genaue Zeit?,,"tam, kesin"
genauso,"just as, equally",Goethe B1,Katarina sieht genauso aus wie ihre Schwester.,,"aynı şekilde, tıpkı"
genehmigen,"to approve, permit",Goethe B1,Mein Chef hat mir sechs Wochen Urlaub genehmigt.,,"onaylamak, izin vermek"
die Generation,generation,Goethe B1,In diesem Haus wohnen drei Generationen zusammen.,,"nesil, kuşak"
genießen,to enjoy,Goethe B1,Er kann das Essen leider nicht genießen.,,tadını çıkarmak
genug,"enough, sufficient",Goethe B1,Es ist noch genug Suppe da.,,yeterli
genügen,"to be enough, suffice",Goethe B1,Mir genügt eine 2-Zimmer-Wohnung.,,yetmek
das Gepäck,"luggage, baggage",Goethe B1,Ich habe mein Gepäck am Bahnhof gelassen.,,bagaj
gerade,"straight, just now, exactly",Goethe B1,Das Bild hängt nicht gerade.,,"tam, az önce, doğru"
geradeaus,straight ahead,Goethe B1,Fahren Sie geradeaus bis zur nächsten Kreuzung.,,"düz gidin, doğruca"
das Gerät,"device, appliance",Goethe B1,Ich kaufe meine Elektrogeräte immer gebraucht.,,"alet, cihaz"
gerecht,"fair, just",Goethe B1,Lass uns den Kuchen gerecht verteilen.,,adil
das Gericht,court / dish (food),Goethe B1,Ich habe einen Termin beim Gericht.,,mahkeme / yemek
gering,"slight, low, minor",Goethe B1,Unsere Mannschaft hatte nur eine geringe Chance.,,"az, küçük, düşük"
gern / gerne,"gladly, with pleasure, like to",Goethe B1,Ich helfe Ihnen gern.,,"memnuniyetle, severek"
gesamt- / Gesamt-,"total, overall, entire",Goethe B1,Ich habe meine gesamten Bücher verschenkt.,,"toplam, bütün"
das Geschäft,"shop, store, business",Goethe B1,Die Geschäfte schließen um 18.30 Uhr.,,"dükkan, mağaza, iş"
geschehen,"to happen, occur",Goethe B1,Gern geschehen.,,"olmak, gerçekleşmek"
das Geschenk,"gift, present",Goethe B1,Vielen Dank für das Geschenk.,,hediye
die Geschichte,"history, story",Goethe B1,Ich interessiere mich nicht für Geschichte.,,"tarih, hikaye"
geschieden,divorced,Goethe B1,Ich bin seit drei Jahren geschieden.,,boşanmış
das Geschirr,"dishes, crockery",Goethe B1,Ich brauche Geschirr für zwölf Personen.,,"tabak çanak, bulaşık"
das Geschlecht,"gender, sex",Goethe B1,Bitte kreuzen Sie an: weiblich/männlich.,,cinsiyet
der Geschmack,"taste, flavor",Goethe B1,Ich möchte Kaugummi mit Erdbeergeschmack.,,"tat, lezzet"
die Geschwindigkeit,"speed, velocity",Goethe B1,Das Auto fuhr mit zu hoher Geschwindigkeit.,,hız
die Geschwindigkeitsbeschränkung,speed limit,Goethe B1,Bitte beachten Sie die Geschwindigkeitsbeschränkungen.,,hız sınırı
die Geschwister,siblings (brothers and sisters),Goethe B1,Die Geschwister sehen sich nur selten.,,kardeşler
die Gesellschaft,"society, company",Goethe B1,Er will die Gesellschaft verändern.,,"toplum, şirket"
das Gesetz,law,Goethe B1,Das Parlament hat ein neues Gesetz beschlossen.,,"yasa, kanun"
das Gesicht,face,Goethe B1,Wasch dir bitte das Gesicht.,,yüz
gespannt,"curious, excited, tense",Goethe B1,"Ich bin gespannt, wer bei diesem Spiel gewinnt.",,"meraklı, heyecanlı"
das Gespräch,"conversation, talk",Goethe B1,Herr Müller ist gerade in einem Gespräch.,,"konuşma, sohbet"
gestern,yesterday,Goethe B1,Ich bin erst gestern zurückgekommen.,,dün
gesund,"healthy, well",Goethe B1,Jetzt bin ich wieder gesund.,,sağlıklı
die Gesundheit,health,Goethe B1,Sie müssen mehr auf Ihre Gesundheit achten.,,sağlık
das Getränk,"drink, beverage",Goethe B1,Besorgst du bitte die Getränke?,,içecek
die Gewalt,"violence, force, power",Goethe B1,"Ich mag keine Filme, in denen Gewalt vorkommt.",,"şiddet, güç"
die Gewerkschaft,trade union,Goethe B1,Die Gewerkschaft vertritt die Interessen der Arbeitnehmer.,,sendika
das Gewicht,weight,Goethe B1,Das hängt vom Gewicht ab.,,ağırlık
gewinnen,"to win, gain",Goethe B1,Ich möchte so gern einmal im Lotto gewinnen.,,kazanmak
der Gewinn,"win, profit, prize",Goethe B1,Der Hauptgewinn ist ein Auto.,,"kazanç, kâr"
das Gewissen,conscience,Goethe B1,Ich habe ein ganz schlechtes Gewissen.,,vicdan
das Gewitter,thunderstorm,Goethe B1,Es wird gleich ein Gewitter geben.,,"fırtına, gök gürültüsü"
sich gewöhnen,to get used to,Goethe B1,Wir haben uns an das Leben hier gewöhnt.,,alışmak
die Gewohnheit,"habit, custom",Goethe B1,"Er hat die Gewohnheit, morgens zuerst die Post zu erledigen.",,alışkanlık
gewohnt,"used to, accustomed",Goethe B1,"Ich bin gewohnt, früh ins Bett zu gehen.",,alışmış
gewöhnlich,"usually, normally, ordinary",Goethe B1,Um die Zeit ist er gewöhnlich zu Hause.,,"genellikle, olağan"
das Gewürz,"spice, seasoning",Goethe B1,Von den scharfen Gewürzen bekommt man Durst.,,baharat
gießen,"to water, pour",Goethe B1,Ich muss meine Blumen gießen.,,"sulamak, dökmek"
das Gift,poison,Goethe B1,"Vorsicht, das Gift dieser Pflanze ist für Menschen gefährlich!",,"zehir, poison"
giftig,"poisonous, toxic",Goethe B1,"Vorsicht, das ist giftig!",,zehirli
die Gitarre,guitar,Goethe B1,Ich spiele seit drei Jahren Gitarre.,,gitar
die Glace / Glacé,ice cream (Swiss),Goethe B1,Zum Dessert gibt es Schokoladenglace.,,dondurma (İsviçre)
das Glas,glass,Goethe B1,"Vorsicht, die Kanne ist aus Glas!",,"cam, bardak"
glatt,"smooth, slippery",Goethe B1,Fahr vorsichtig! Es ist glatt.,,"kaygan, düz"
glauben,"to believe, think",Goethe B1,"Ich glaube, der Chef ist heute nicht im Büro.",,"inanmak, sanmak"
gleich,"same, right away, immediately",Goethe B1,Ich komme gleich.,,"hemen, aynı"
gleichfalls,"likewise, same to you",Goethe B1,"Schöne Feiertage! – Danke, gleichfalls.",,aynı şekilde
gleichberechtigt,equal (rights),Goethe B1,Mann und Frau sind gleichberechtigt.,,eşit haklara sahip
gleichzeitig,"simultaneously, at the same time",Goethe B1,Ich kann nicht alles gleichzeitig machen.,,aynı anda
das Gleis,"track, platform",Goethe B1,Der Zug fährt heute von Gleis 7 ab.,,"tren rayı, peron"
das Glück,"luck, happiness",Goethe B1,Da hast du Glück gehabt.,,"şans, mutluluk"
glücklich,"happy, lucky",Goethe B1,Meine Schwester ist sehr glücklich.,,"mutlu, şanslı"
der Glückwunsch,congratulations,Goethe B1,Herzlichen Glückwunsch zum Geburtstag!,,tebrik
das Gold,gold,Goethe B1,Ist der Ring aus Gold?,,altın
Golf / das Golfspiel,golf,Goethe B1,Kannst du Golf spielen?,,golf
der Gott,"God, god",Goethe B1,Glaubst du an Gott?,,"Tanrı, Allah"
die Grafik,"graph, graphic",Goethe B1,Die Grafik zeigt die Temperaturen im letzten Jahr.,,grafik
das Gras,grass,Goethe B1,Wir lagen den ganzen Tag im Gras.,,"çimen, ot"
gratulieren,to congratulate,Goethe B1,Ich gratuliere euch zur Geburt eurer Tochter.,,tebrik etmek
die Gratulation,congratulation,Goethe B1,Herzliche Gratulation! Sie haben gewonnen!,,tebrik
gratis,free (of charge),Goethe B1,Diese Reparatur machen wir gratis für Sie.,,"ücretsiz, bedava"
greifen,"to grab, reach",Goethe B1,Greifen Sie doch zu!,,"tutmak, uzanmak"
die Grenze,"border, limit",Goethe B1,An der Grenze musst du deinen Ausweis zeigen.,,sınır
grillen / grillieren,"to grill, barbecue",Goethe B1,Heute wollen wir im Garten grillen.,,"ızgara yapmak, barbekü yapmak"
